parameter,n,h,d,b,k,w,signature_bytes,public_key_bytes,secret_key_bytes,keygen_us,sign_us,verify_us
sphincs-shake256-128s-simple,16,63,7,12,14,16,7856,32,64,139447.17,1016999.95,963.9
sphincs-shake256-128s-simple,16,63,7,12,14,16,7856,32,64,137075.71,1033097.69,970.72
sphincs-shake256-128s-simple,16,63,7,12,14,16,7856,32,64,135267.21,1013016.79,964.74
sphincs-shake256-128s-simple,16,63,7,12,14,16,7856,32,64,137011.09,1031410.17,983.02
sphincs-shake256-128s-simple,16,63,7,12,14,16,7856,32,64,134381.14,1014072.81,988.57
sphincs-shake256-128s-simple,16,63,7,12,14,16,7856,32,64,134921.79,1015316.66,971.47
sphincs-shake256-128s-simple,16,63,7,12,14,16,7856,32,64,133709.28,1015392.1,966.08
sphincs-shake256-128s-simple,16,63,7,12,14,16,7856,32,64,134309.73,1014785.11,961.83
sphincs-shake256-128s-simple,16,63,7,12,14,16,7856,32,64,134276.23,1014842.32,962.39
sphincs-shake256-128s-simple,16,63,7,12,14,16,7856,32,64,134143.34,1014921.43,970.88
sphincs-shake256-128s-simple,16,63,7,12,14,16,7856,32,64,134441.1,1017238.57,967.22
sphincs-shake256-128s-simple,16,63,7,12,14,16,7856,32,64,134535.3,1013875.37,980.8
sphincs-shake256-128s-simple,16,63,7,12,14,16,7856,32,64,134347.09,1014612.65,978.12
sphincs-shake256-128s-simple,16,63,7,12,14,16,7856,32,64,133792.94,1015330.47,1005.39
sphincs-shake256-128s-simple,16,63,7,12,14,16,7856,32,64,134050.1,1015164.28,970.06
sphincs-shake256-128s-simple,16,63,7,12,14,16,7856,32,64,134726.39,1017320.26,980.55
sphincs-shake256-128s-simple,16,63,7,12,14,16,7856,32,64,134292.45,1014146.98,965.1
sphincs-shake256-128s-simple,16,63,7,12,14,16,7856,32,64,134674.23,1013664.86,963.72
sphincs-shake256-128s-simple,16,63,7,12,14,16,7856,32,64,135384.55,1016125.06,969.11
sphincs-shake256-128s-simple,16,63,7,12,14,16,7856,32,64,134009.53,1014563.7,956.76
sphincs-shake256-128s-simple,16,63,7,12,14,16,7856,32,64,133989.67,1013567.48,969.55
sphincs-shake256-128s-simple,16,63,7,12,14,16,7856,32,64,134312.96,1016080.7,977.97
sphincs-shake256-128s-simple,16,63,7,12,14,16,7856,32,64,134087.68,1012163.43,985.42
sphincs-shake256-128s-simple,16,63,7,12,14,16,7856,32,64,134232.73,1014027.67,1005.67
sphincs-shake256-128s-simple,16,63,7,12,14,16,7856,32,64,133935.17,1013717.52,977.93
sphincs-shake256-128s-simple,16,63,7,12,14,16,7856,32,64,134595.43,1012971.14,965.44
sphincs-shake256-128s-simple,16,63,7,12,14,16,7856,32,64,134095.93,1014649.1,969.97
sphincs-shake256-128s-simple,16,63,7,12,14,16,7856,32,64,134643.07,1014517.49,968.74
sphincs-shake256-128s-simple,16,63,7,12,14,16,7856,32,64,134352.72,1013081.33,967.3
sphincs-shake256-128s-simple,16,63,7,12,14,16,7856,32,64,134004.54,1025528.75,962.44
sphincs-shake256-128f-simple,16,66,22,6,33,16,17088,32,64,2278.54,52135.61,2845.31
sphincs-shake256-128f-simple,16,66,22,6,33,16,17088,32,64,2286.16,51902.85,2924.11
sphincs-shake256-128f-simple,16,66,22,6,33,16,17088,32,64,2260.21,53055.84,2880.58
sphincs-shake256-128f-simple,16,66,22,6,33,16,17088,32,64,2270.59,52926.73,3042.83
sphincs-shake256-128f-simple,16,66,22,6,33,16,17088,32,64,2265.94,52193.3,2960.92
sphincs-shake256-128f-simple,16,66,22,6,33,16,17088,32,64,2264.9,52501.97,2942.72
sphincs-shake256-128f-simple,16,66,22,6,33,16,17088,32,64,2267.66,52098.79,2864.95
